"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3"
"ADO","1.549e-05","0","0","0","0","0","0","0","4","0","0"
"ADORA1","1.845e-05","0","0","1","0","0","0","2","5","2","3"
"ADORA2A","2.269e-05","0","0","0","0","0","0","0","9","1","2"
"ADORA2B","1.662e-05","0","2","2","0","1","0","1","7","5","2"
"ADORA3","1.216e-05","0","0","2","0","0","0","4","12","6","2"
"ADPGK","1.557e-05","0","0","0","0","1","0","2","7","1","0"
"ADPRH","1.411e-05","0","2","1","1","1","0","7","18","5","0"
"ADPRHL1","1.45e-05","0","1","2","0","0","0","4","12","5","4"
"ADPRHL2","1.273e-05","0","0","0","0","0","0","1","15","5","3"
"ADRA1A","2.487e-05","0","3","8","1","1","0","4","7","4","3"
"ADRA1B","2.009e-05","0","0","0","0","1","0","3","5","6","1"
"ADRA1D","3.12e-05","0","0","1","0","0","0","2","6","1","1"
"ADRA2A","3.19e-05","0","0","2","0","0","0","1","14","0","0"
"ADRA2B","2.72e-05","0","0","2","0","0","0","4","9","0","1"
"ADRA2C","2.357e-05","0","0","0","0","0","0","2","3","0","2"
"ADRB1","2.784e-05","0","0","0","0","0","0","0","7","0","0"
"ADRB2","2.038e-05","0","0","1","0","0","0","3","5","1","0"
"ADRB3","1.333e-05","0","0","0","0","0","0","0","2","0","0"
"ADRBK1","3.9e-05","0","0","0","0","6","0","0","2","3","3"
"ADRBK2","2.739e-05","0","0","1","0","0","0","2","5","0","4"
"ADRM1","2.522e-05","0","0","0","0","0","0","2","4","1","1"
"ADSL","2.263e-05","0","0","3","0","0","0","1","7","6","4"
"ADSS","1.824e-05","1","0","0","0","0","0","0","5","2","1"
"ADSSL1","2.224e-05","0","0","9","3","2","0","10","12","8","9"
"ADTRP","9.18e-06","0","0","2","0","0","0","0","2","0","0"
"AEBP1","6.4e-05","0","0","5","0","1","0","5","19","2","1"
"AEBP2","1.115e-05","0","0","0","0","0","0","1","1","0","0"
"AEN","1.641e-05","0","0","3","0","0","0","3","14","2","4"
"AES","9.71e-06","0","0","1","0","0","0","1","1","1","0"
"AFAP1","3.86e-05","0","0","5","0","0","0","7","44","13","5"
"AFAP1L1","3.74e-05","0","1","5","0","1","0","4","22","4","4"
"AFAP1L2","3.72e-05","0","0","3","0","0","0","4","20","9","12"
"AFF1","4.97e-05","0","0","1","0","0","0","7","17","11","9"
"AFF2","4.92e-05","0","1","0","0","0","0","0","14","0","0"
"AFF3","6.18e-05","0","0","1","0","0","0","4","13","5","3"
"AFF4","4.31e-05","0","0","0","0","1","0","6","26","8","6"
"AFG3L2","3.071e-05","0","0","1","0","1","0","2","14","0","0"
"AFM","2.021e-05","0","1","14","3","2","0","2","14","4","2"
"AFMID","1.439e-05","0","0","0","0","0","0","5","10","2","2"
"AFP","1.991e-05","0","3","2","2","2","0","2","14","3","3"
"AFTPH","3.016e-05","0","1","0","1","2","0","7","21","7","6"
"AGA","1.422e-05","0","0","4","1","0","0","1","12","2","0"
"AGAP1","5.29e-05","0","1","1","0","0","0","6","24","6","10"
"AGAP11","2.656e-05","0","0","0","0","0","0","0","0","0","0"
"AGAP2","4.87e-05","0","1","0","0","0","2","5","11","1","1"
"AGAP3","5.42e-05","0","0","3","0","0","0","1","13","3","9"
"AGAP4","3.046e-05","0","0","0","0","0","0","0","0","0","0"
"AGAP5","2.69e-05","0","0","0","0","0","0","0","0","0","0"
"AGAP6","2.69e-05","0","0","0","0","0","0","0","0","0","0"
"AGAP7","3.11e-05","0","2","0","0","1","0","0","0","0","0"
"AGAP8","2.989e-05","0","0","0","0","0","0","0","0","0","0"
"AGBL1","4.01e-05","0","3","11","2","1","0","10","23","11","5"
"AGBL2","2.908e-05","0","0","7","1","0","0","4","8","3","8"
"AGBL3","3.58e-05","0","1","0","0","0","0","0","0","0","0"
"AGBL4","9.16e-06","0","1","2","0","0","0","5","19","0","1"
